GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
FacialHairB,Facial Hair B,Facial Hair B,胡子 B,鬍子 B,Gesichtsbehaarung B,Vello facial B,Moustache,Arcszőrzet B,ひげB,수염 B,Волосы на лице Б,Pêlos faciais B,Волосся на обличчі Б,Peli sul viso B,ขนบนใบหน้าบี,Sakal B,Ansiktshår B
FacialHairBOutline,Facial Hair B Outline,Facial Hair B Outline,胡子 B 轮廓,鬍子 B 輪廓,Facial Hair B Outline,Contorno del vello facial B,Contour Moustache,Arcszőrzet B vázlat,ひげBの輪郭,얼굴 털 B 윤곽선,Волосы на лице B. Контур,Contorno B dos pêlos faciais,Волосся на обличчі B контур,Profilo dei peli del viso B,โครงร่างขนบนใบหน้า B,Sakal B Anahat,Ansiktshår B Kontur
GloveLeft,Glove >>,Glove >>,手套 >>,手套 >>,Handschuh >>,Guante >>,Gant >>,Kesztyű >>,グローブ >>,장갑 >>,Перчатка >>,Luva >>,Рукавичка >>,Guanto >>,ถุงมือ >>,Eldiven >>,Handske >>
GloveLeftOutline,Glove >> Outline,Glove >> Outline,手套 >> 轮廓,手套 >> 輪廓,Handschuh >> Umriss,Guante >> Contorno,Contour Gant >> Aperçu,Kesztyű >> Vázlat,グローブ >> 概要,장갑 >> 개요,Перчатка >> Схема,Luva >> Contorno,Рукавичка >> Контур,Guanto >> Contorno,ถุงมือ >> โครงร่าง,Eldiven >> Anahat,Handske >> Kontur
GloveRight,Glove <<,Glove <<,手套 <<,手套 <<,Handschuh <<,Guante <<,Gant <<,Kesztyű <<,グローブ <<,장갑 <<,Перчатка <<,Luva <<,Рукавичка <<,Guanto <<,ถุงมือ<<,Eldiven <<,Handske <<
GloveRightOutline,Glove << Outline,Glove << Outline,手套 << 轮廓,手套 << 輪廓,Handschuh << Umriss,Guante << Esquema,Contour Gant << Aperçu,Kesztyű << Vázlat,グローブ << 概要,장갑 << 개요,Перчатка << Контур,Luva << Contorno,Рукавичка << Контур,Guanto << Contorno,ถุงมือ << โครงร่าง,Eldiven << Anahat,Handske << Kontur
HandLeft,Hand >>,Hand >>,手 >>,手 >>,Hand >>,Mano >>,Main >>,Kéz >>,手 >>,손 >>,Рука >>,Mão >>,Рука >>,Mano >>,มือ >>,El >>,Hand >>
HandLeftOutline,Hand >> Outline,Hand >> Outline,手 >> 轮廓,手 >> 輪廓,Hand >> Umriss,Mano >> Contorno,Contour Main >>,Kéz >> Vázlat,手 >> 概要,손 >> 개요,Рука >> Схема,Mão >> Contorno,Рука >> Контур,Mano >> Contorno,มือ >> โครงร่าง,El >> Anahat,Hand >> Kontur
HandRight,Hand <<,Hand <<,手 <<,手 <<,Hand <<,Mano <<,Main <<,Kéz <<,手 <<,손 <<,Рука <<,Mão <<,Рука <<,Mano <<,มือ <<,El <<,Hand <<
HandRightOutline,Hand << Outline,Hand << Outline,手 << 轮廓,手 << 輪廓,Hand << Umriss,Mano << Contorno,Contour Main <<,Kézi << Vázlat,手 << アウトライン,손 << 개요,Рука << Контур,Mão << Contorno,Рука << контур,Mano << Contorno,มือ << โครงร่าง,El << Anahat,Hand << Kontur
Gun,Gun,Gun,枪,槍,Pistole,Pistola,Pistolet,Pisztoly,銃,총,Пистолет,Pistola,пістолет,Pistola,ปืน,Silah,Pistol
GunFlash,Gun Flash,Gun Flash,枪口闪光,槍口閃光,Waffenblitz,Destello de pistola,Flash de Pistolet,Gun Flash,ガンフラッシュ,건 플래시,Пистолетная вспышка,Flash de arma,Спалах пістолета,Lampo di pistola,ปืนแฟลช,Silah Işığı,Gun Flash
Lubricant,Lubricant,Lubricant,润滑剂,潤滑劑,Schmiermittel,Lubricante,Dégrippant,Kenőanyag,潤滑剤,윤활유,Смазка,Lubrificante,мастило,Lubrificante,น้ำมันหล่อลื่น,Sprey Kutusu,Smörjmedel
Megaphone,Megaphone,Megaphone,扩音器,擴音器,Megaphon,Megáfono,Mégaphone,Megafon,メガホン,메가폰,Мегафон,Megafone,Мегафон,Megafono,โทรโข่ง,Megafon,Megafon
Nose,Nose,Nose,鼻子,鼻子,Nase,Nariz,Nez,Orr,鼻,코,Нос,Nariz,ніс,Naso,จมูก,Burun,Näsa
PiercingALeft,Piercing A >>,Piercing A >>,耳钉 A >>,耳釘 A >>,Piercing A >>,Perforación A >>,Piercing A >>,Piercing A >>,ピアスA >>,피어싱 A >>,Пирсинг А >>,Perfuração A >>,Пірсинг А >>,Perforare A >>,เจาะเอ >>,Pirsing A >>,Piercing A >>
PiercingAOutlineLeft,Piercing A >> Outline,Piercing A >> Outline,耳钉 A >> 轮廓,耳釘 A >> 輪廓,Piercing A >> Umriss,Perforación A >> Contorno,Contour Piercing A >>,Piercing A >> Vázlat,ピアスA >> 概要,피어싱 A >> 개요,Пирсинг А >> Схема,Piercing A >> Contorno,Пірсинг A >> Контур,Perforazione A >> Contorno,เจาะ A >> โครงร่าง,Pirsing  A >> Anahat,Piercing A >> Kontur
PiercingARight,Piercing A <<,Piercing A <<,耳钉 A <<,耳釘 A <<,Piercing A <<,Perforando A <<,Piercing A <<,Piercing A <<,ピアスA <<,피어싱 A <<,Пирсинг А <<,Perfuração A <<,Пірсинг A <<,Perforare A <<,เจาะเอ <<,Pirsing A <<,Piercing A <<
PiercingAOutlineRight,Piercing A << Outline,Piercing A << Outline,耳钉 A << 轮廓,耳釘 A << 輪廓,Piercing A << Umriss,Perforando un << contorno,Contour Piercing A <<,Piercing << Körvonal,ピアスA << 概要,피어싱 A << 개요,Пирсинг А << Схема,Perfuração A << Contorno,Пірсинг A << Контур,Perforare un << contorno,เจาะ A << เค้าร่าง,Pirsing A << Anahat,Piercing A << Kontur
PiercingBLeft,Piercing B >>,Piercing B >>,耳钉 B >>,耳釘 B >>,Piercing B >>,Perforación B >>,Piercing B >>,Piercing B >>,ピアスB >>,피어싱 B >>,Пирсинг Б >>,Perfuração B >>,Пірсинг B >>,Perforazione B >>,เจาะบี >>,Pirsing B >>,Piercing B >>
PiercingBOutlineLeft,Piercing B >> Outline,Piercing B >> Outline,耳钉 B >> 轮廓,耳釘 B >> 輪廓,Piercing B >> Umriss,Perforación B >> Contorno,Contour Piercing B >>,Piercing B >> Vázlat,ピアスB >> 概要,피어싱 B >> 개요,Пирсинг B >> Схема,Piercing B >> Contorno,Пірсинг B >> Контур,Perforazione B >> Contorno,เจาะ B >> โครงร่าง,Pirsing B >> Anahat,Piercing B >> Kontur
PiercingBRight,Piercing B <<,Piercing B <<,耳钉 B <<,耳釘 B <<,Piercing B <<,Perforación B <<,Piercing B <<,Piercing B <<,ピアスB <<,피어싱 B <<,Пирсинг Б <<,Perfuração B <<,Пірсинг Б <<,Perforare B <<,เจาะบี <<,Pirsing B <<,Piercing B <<
PiercingBOutlineRight,Piercing B << Outline,Piercing B << Outline,耳钉 B << 轮廓,耳釘 B << 輪廓,Piercing B << Umriss,Perforación B << Contorno,Contour Piercing B <<,Piercing B << Vázlat,ピアスB << 概要,피어싱 B << 개요,Пирсинг B << Схема,Piercing B << Contorno,Пірсинг B << Контур,Foratura B << Contorno,เจาะ B << เค้าร่าง,Pirsing B << Anahat,Piercing B << Kontur
PixelSunGlasses,Pixel Sun Glasses,Pixel Sun Glasses,像素太阳镜,畫素太陽鏡,Pixel-Sonnenbrille,Gafas de sol de píxeles,Lunettes de Soleil Pixel,Pixel napszemüveg,ピクセルサングラス,픽셀 선글라스,Пиксельные солнцезащитные очки,Óculos de sol pixelados,Сонцезахисні окуляри Pixel,Occhiali da sole Pixel,แว่นกันแดดพิกเซล,Piksel Güneş Gözlüğü,Pixel solglasögon
PompomLeft,Pompom >>,Pompom >>,拉拉花 >>,拉拉花 >>,Pompon >>,Pompón >>,Pompon >>,Pompon >>,ポンポン >>,폼폼 >>,Помпон >>,Pompom >>,Помпон >>,Pompon >>,ปอมปอม >>,Ponpon >>,Pompom >>
PompomRight,Pompom <<,Pompom <<,拉拉花 <<,拉拉花 <<,Pompon <<,Pompón <<,Pompon <<,Pompon <<,ポンポン <<,폼폼 <<,Помпон <<,Pompom <<,Помпон <<,Pompon <<,ปอมปอม <<,Ponpon <<,Pompom <<
Spray,Spray,Spray,喷雾,噴霧,Spray,Pulverización,Pulvérisateur,Permet,スプレー,스프레이,Спрей,Pulverizar,Спрей,Spray,สเปรย์,Sprey,Spray
StickerLightBulb,Sticker Light Bulb,Sticker Light Bulb,表情贴纸 灯泡,表情貼紙 燈泡,Aufkleber Glühbirne,Vinilo Bombilla,Ampoule,Matrica villanykörte,ステッカー電球,스티커 전구,Наклейка Лампочка,Lâmpada adesiva,Наклейка лампочки,Lampadina adesiva,สติ๊กเกอร์หลอดไฟ,İşaret Ampul,Klistermärke Glödlampa
StickerLoading,Sticker Loading,Sticker Loading,表情贴纸 加载,表情貼紙 載入,Aufkleber wird geladen,Cargando pegatinas,Chargement,Matrica betöltése,ステッカーの読み込み,스티커 로딩,Загрузка стикера,Carregamento de adesivos,Завантаження наклейки,Caricamento adesivo,กำลังโหลดสติ๊กเกอร์,İşaret Yükleniyor,Klistermärke laddas
SunGlasses,Sunglasses,Sunglasses,太阳镜,太陽鏡,Sonnenbrille,Gafas de sol,Lunettes de Soleil,Napszemüveg,サングラス,색안경,Солнцезащитные очки,Óculos de sol,Сонцезахисні окуляри,Occhiali da sole,แว่นกันแดด,Güneş Gözlüğü,Solglasögon
SunGlassesReflection,Sunglasses Reflection,Sunglasses Reflection,太阳镜反光,太陽鏡反光,Sonnenbrillenreflexion,Reflejo de gafas de sol,Réflexion Lunettes de Soleil,Napszemüveg Reflection,サングラスの反射,선글라스 반사,Солнцезащитные очки Отражение,Reflexão de óculos de sol,Сонцезахисні окуляри Reflection,Riflessione sugli occhiali da sole,แว่นกันแดดสะท้อนแสง,Güneş Gözlüğü Yansıması,Solglasögon reflektion
Tape,Tape,Tape,胶带,膠帶,Band,Cinta,Ruban Adhésif,Szalag,テープ,줄자,Лента,Fita,Стрічка,Nastro,เทป,Bant,Tejpa
Toilet,Toilet,Toilet,马桶,馬桶,Toilette,Baño,Toilettes,WC,トイレ,화장실,Туалет,Banheiro,Туалет,Toilette,ห้องน้ำ,Tuvalet,Toalett
TrashBin,Trash Bin,Trash Bin,垃圾桶,垃圾桶,Mülleimer,Papelera,Poubelle,Szemeteskosár,ゴミ箱,쓰레기통,мусорное ведро,Lixeira,Відро для сміття,Cestino,ถังขยะ,Çöp Kutusu,Papperskorgen
WaveHand,Wave Hand,Wave Hand,挥手 手,揮手 手,Hand winken,Mano ondulada,Main Coucou,Hullám kéz,手を振る,웨이브 핸드,Волновая рука,Acenar mão,Хвиля рукою,Onda la mano,คลื่นมือ,El Salla,Våga Hand
Swatter,Swatter,Swatter,拍子,拍子,Fliegenklatsche,Palmeta matamoscas,Tapette à Mouche,Légycsapó,たたき,찰싹 때리는 사람,Сваттер,mata-mata,Бійка,Schiacciamento,ไม้ตี,Sineklik,Swatter
Ponytail,Hair Ponytail,Hair Ponytail,头发 单马尾,頭髮馬尾辮,Haar Pferdeschwanz,Cola de caballo de pelo,Queue de cheval,Haj lófarok,ヘアポニーテール,헤어 포니테일,Волосы,Rabo de cavalo de cabelo,Хвіст для волосся,Coda di cavallo dei capelli,ผมหางม้า,Saç At Kuyruğu,Hår hästsvans
PonytailOutline,Hair Ponytail Outline,Hair Ponytail Outline,头发 单马尾 轮廓,頭髮馬尾辮輪廓,Haar-Pferdeschwanz-Umriss,Contorno de cola de caballo de pelo,Aperçu de la queue de cheval,Haj lófarok vázlat,髪ポニーテールの概要,헤어 포니테일 외곽선,Контур волос,Contorno de rabo de cavalo de cabelo,Контур зачіски в хвіст,Contorno di coda di cavallo per capelli,โครงร่างผมหางม้า,Saç At Kuyruğu Anahattı,Hår hästsvans kontur
Eyepatch,Eyepatch,Eyepatch,眼罩,眼罩,Augenklappe,parche en el ojo,Cache-œil,Szemtapasz,眼帯,안대,Повязка на глазу,Tapa-olho,Пов'язка на око,Benda sull'occhio,ผ้าปิดตา,Göz bandı,Ögonlapp
EyepatchOutline,Eyepatch Outline,Eyepatch Outline,眼罩轮廓,眼罩輪廓,Augenklappen-Umriss,Contorno del parche,Contour du cache-œil,Szemtapasz körvonala,眼帯の輪郭,안대 개요,Контур повязки на глазу,Contorno do tapa-olho,Контур пов'язки,Contorno della benda sull'occhio,โครงร่างผ้าปิดตา,Göz Bandı Anahattı,Eyepatch Outline
NumberSix,Number Six,Number Six,数字 6,六號,Nummer Sechs,numero seis,Numéro six,Hat szám,ナンバー6,넘버 6,Номер шесть,Número seis,Номер шість,Numero Sei,หมายเลขหก,Altı Numara,Nummer sex
NumberSeven,Number Seven,Number Seven,数字 7,第七號,Nummer sieben,numero siete,Numéro Sept,Hetes szám,ナンバー 7,넘버 세븐,Номер семь,Número Sete,Номер сім,Numero sette,หมายเลขเจ็ด,Yedi Numara,Nummer sju
